"","Variable","VIF","Response","CI_type"
"1","Ln Body mass",1.74,"Threatened","Bootstrap"
"2","Ln Bill length",1.83,"Threatened","Bootstrap"
"3","Ln Range size",1.49,"Threatened","Bootstrap"
"4","Elevational range",1.31,"Threatened","Bootstrap"
"5","Human footprint within range",1.32,"Threatened","Bootstrap"
"6","Migratory_score",1.15,"Threatened","Bootstrap"
"7","Forest_depend_score",1.06,"Threatened","Bootstrap"
"8","Hermit",1.18,"Threatened","Bootstrap"
"9","Ln Body mass",1.8,"Decreasing","Bootstrap"
"10","Ln Bill length",1.91,"Decreasing","Bootstrap"
"11","Ln Range size",1.53,"Decreasing","Bootstrap"
"12","Elevational range",1.1,"Decreasing","Bootstrap"
"13","Human footprint within range",1.49,"Decreasing","Bootstrap"
"14","Migratory_score",1.05,"Decreasing","Bootstrap"
"15","Forest_depend_score",1.03,"Decreasing","Bootstrap"
"16","Hermit",1.24,"Decreasing","Bootstrap"
